ANIO;CONCEPTO;UVT
0;INGRESOS;1400
0;PATRIMONIO;4500
0;CONSUMOS;1400
0;COMPRAS;1400
0;CONSIGNACIONES;1400
0;IVA_PERIODICIDAD;92000
0;PATRIMONIO_IMPTO;72000
